25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
253
# a b m n r  k err rhoa
2	3	5	6	-6.52736183121225e-01	-7.36495156836297e+01	1.63201251264829e-03	4.80737037560593e+01
3	4	6	7	-3.46146292244908e-01	-2.43709338715399e+02	2.98895193276394e-03	8.43590839817937e+01
4	5	7	8	-3.45798975049149e-01	-2.43709338715399e+02	2.99185356855921e-03	8.42744395376908e+01
5	6	8	9	-6.52165032184499e-01	-7.36495156836297e+01	1.63335421350389e-03	4.80316387661871e+01
6	7	9	10	-1.41104444805427e-01	-3.76991118430775e+02	7.18694897158576e-03	5.31951224627515e+01
7	8	10	11	-6.51452363359940e-01	-7.36495156836297e+01	1.63503165579504e-03	4.79791510524156e+01
8	9	11	12	-3.45219126743609e-01	-2.43709338715399e+02	2.99671087877669e-03	8.41331250905924e+01
9	10	12	13	-3.46259001445349e-01	-2.43709338715399e+02	2.98801156309530e-03	8.43865522665004e+01
10	11	13	14	-6.51904510749204e-01	-7.36495156836297e+01	1.63396698981381e-03	4.80124514886525e+01
11	12	14	15	-1.41239057199097e-01	-3.76991118430775e+02	7.18019452855986e-03	5.32458701395958e+01
12	13	15	16	-6.51484455523384e-01	-7.36495156836297e+01	1.63495604004339e-03	4.79815146247104e+01
13	14	16	17	-3.45027415208516e-01	-2.43709338715399e+02	2.99832041142485e-03	8.40864031991508e+01
14	15	17	18	-3.45160610994740e-01	-2.43709338715399e+02	2.99720196379893e-03	8.41188642561311e+01
15	16	18	19	-6.51977157004304e-01	-7.36495156836297e+01	1.63379606824691e-03	4.80178018501568e+01
16	17	19	20	-1.41311719333823e-01	-3.76991118430775e+02	7.17655391013737e-03	5.32732631190337e+01
17	18	20	21	-6.52403166059843e-01	-7.36495156836297e+01	1.63279452342246e-03	4.80491772107741e+01
18	19	21	22	-3.45090566265216e-01	-2.43709338715399e+02	2.99779002313109e-03	8.41017937014183e+01
19	20	22	23	-3.44199914284033e-01	-2.43709338715399e+02	3.00528834697734e-03	8.38847334960587e+01
20	21	23	24	-6.51786876789964e-01	-7.36495156836297e+01	1.63424383891400e-03	4.80037878045265e+01
21	22	24	25	-1.41591801321858e-01	-3.76991118430775e+02	7.16255581653955e-03	5.33788515409553e+01
1	2	5	6	-7.79210075794315e-01	-8.35026830420010e+01	1.38335096152423e-03	6.50661319821863e+01
2	3	6	7	-2.74280658958808e-01	-9.51996818158478e+02	3.74590053048612e-03	2.61114314611196e+02
3	4	7	8	-2.83793440442887e-01	-9.51996818158478e+02	3.62368961889818e-03	2.70170452315876e+02
4	5	8	9	-2.72638522835741e-01	-9.51996818158478e+02	3.76786024806362e-03	2.59551006247053e+02
5	6	9	10	-7.80487844755361e-01	-8.35026830420010e+01	1.38124993453735e-03	6.51728291187414e+01
6	7	10	11	-7.80070680253475e-01	-8.35026830420010e+01	1.38193511859087e-03	6.51379947635641e+01
7	8	11	12	-2.70072221146238e-01	-9.51996818158478e+02	3.80271328075064e-03	2.57107895204211e+02
8	9	12	13	-2.74824535812301e-01	-9.51996818158478e+02	3.73868530531414e-03	2.61632083645191e+02
9	10	13	14	-2.72687320946517e-01	-9.51996818158478e+02	3.76720387485905e-03	2.59597461893244e+02
10	11	14	15	-7.78786350543385e-01	-8.35026830420010e+01	1.38404921234465e-03	6.50307497868610e+01
11	12	15	16	-7.81921425525273e-01	-8.35026830420010e+01	1.37890088102935e-03	6.52925369593865e+01
12	13	16	17	-2.70734373470204e-01	-9.51996818158478e+02	3.79365731873000e-03	2.57738262109763e+02
13	14	17	18	-2.75679682360893e-01	-9.51996818158478e+02	3.72739825958918e-03	2.62446180438510e+02
14	15	18	19	-2.73121714803258e-01	-9.51996818158478e+02	3.76137127075504e-03	2.60011003462689e+02
15	16	19	20	-7.79161101308630e-01	-8.35026830420010e+01	1.38343162706719e-03	6.50620424812310e+01
16	17	20	21	-7.83294694816671e-01	-8.35026830420010e+01	1.37665871684992e-03	6.54072086297574e+01
17	18	21	22	-2.68130250628493e-01	-9.51996818158478e+02	3.82953069508575e-03	2.55259145450361e+02
18	19	22	23	-2.70470493823784e-01	-9.51996818158478e+02	3.79726096870114e-03	2.57487049525995e+02
19	20	23	24	-2.71782904687316e-01	-9.51996818158478e+02	3.77940728704218e-03	2.58736460492194e+02
20	21	24	25	-7.82786362466738e-01	-8.35026830420010e+01	1.37748776415671e-03	6.53647615146610e+01
1	2	6	7	1.48027676183668e+00	5.36303412266898e+01	7.75549347109409e-04	7.93877478472405e+01
2	3	7	8	1.49658309707524e+00	5.36303412266898e+01	7.68188757412998e-04	8.02622621702413e+01
3	4	8	9	1.49288924264395e+00	5.36303412266898e+01	7.69842056219101e-04	8.00641594966495e+01
4	5	9	10	1.47857792004250e+00	5.36303412266898e+01	7.76325533098219e-04	7.92966383821285e+01
5	6	10	11	2.72626521182085e+00	2.05818045373816e+01	4.66802171580405e-04	5.61114577067600e+01
6	7	11	12	1.47545645075551e+00	5.36303412266898e+01	7.77756364471448e-04	7.91292329191386e+01
7	8	12	13	1.47993066232464e+00	5.36303412266898e+01	7.75707332415982e-04	7.93691864123114e+01
8	9	13	14	1.48307217589055e+00	5.36303412266898e+01	7.74276017213743e-04	7.95376668568195e+01
9	10	14	15	1.47783260539265e+00	5.36303412266898e+01	7.76666624048606e-04	7.92566669031358e+01
10	11	15	16	2.72590775370288e+00	2.05818045373816e+01	4.66850271672472e-04	5.61041005736457e+01
11	12	16	17	1.47644346322052e+00	5.36303412266898e+01	7.77303279746812e-04	7.91821667344321e+01
12	13	17	18	1.48105278566319e+00	5.36303412266898e+01	7.75195381069566e-04	7.94293662698563e+01
13	14	18	19	1.48409851346271e+00	5.36303412266898e+01	7.73809717433644e-04	7.95927096910282e+01
14	15	19	20	1.47679527577700e+00	5.36303412266898e+01	7.77141927796228e-04	7.92010345618839e+01
15	16	20	21	2.72914452535541e+00	2.05818045373816e+01	4.66415186410757e-04	5.61707191751302e+01
16	17	21	22	1.47778284366215e+00	5.36303412266898e+01	7.76689409603553e-04	7.92539981645490e+01
17	18	22	23	1.47376409961830e+00	5.36303412266898e+01	7.78534644899409e-04	7.90384715501746e+01
18	19	23	24	1.47661713321822e+00	5.36303412266898e+01	7.77223619788662e-04	7.91914807156696e+01
19	20	24	25	1.47840109175237e+00	5.36303412266898e+01	7.76406426901840e-04	7.92871550205903e+01
1	2	7	8	-2.77435740298524e-01	-9.51996818158478e+02	3.70443827072888e-03	2.64117942007637e+02
2	3	8	9	-2.85801370403970e-01	-9.51996818158478e+02	3.59893353760528e-03	2.72081995249912e+02
3	4	9	10	-2.73402362428924e-01	-9.51996818158478e+02	3.75761287179795e-03	2.60278179109347e+02
4	5	10	11	-7.57743906974872e-01	-9.06307466119545e+01	1.41970708150235e-03	6.86748960297920e+01
5	6	11	12	-7.57229148896234e-01	-9.06307466119545e+01	1.42060420740226e-03	6.86282431208005e+01
6	7	12	13	-2.69691644155781e-01	-9.51996818158478e+02	3.80793838693190e-03	2.56745587120232e+02
7	8	13	14	-2.74266175485777e-01	-9.51996818158478e+02	3.74609306353148e-03	2.61100526390954e+02
8	9	14	15	-2.73542039934042e-01	-9.51996818158478e+02	3.75574520187510e-03	2.60411151649787e+02
9	10	15	16	-7.55935187810312e-01	-9.06307466119545e+01	1.42286473248674e-03	6.85109704614966e+01
10	11	16	17	-7.57763253337477e-01	-9.06307466119545e+01	1.41967338821937e-03	6.86766494050791e+01
