x,y,z,Resistivity/Ohmm,Marker
2.056098588435,-5.046854818664,-6.535842662675,47.494664045082764,100.0
2.952496453214,-11.0,-9.071616679161,17.084587016199677,100.0
6.618679758214,-6.085967230734,-10.139427474564,14.607509025137706,100.0
5.921466559117,-8.56281341256,-6.579852406563,33.38134848942631,100.0
-6.589772086175,8.817693974959,-5.032836255414,141.37162934417933,100.0
-7.456424766767,11.0,-8.531530613648,27.695850684202846,100.0
-8.269125497403,7.677180691964,-8.800106381944,30.831868687464933,100.0
-9.373513980084,11.0,-6.50998018986,37.32907179604677,100.0
11.0,-9.623359386581,-1.065371683303,59.94410567912619,5.0
9.204392252705,-8.264335040134,0.0,182.40885193104378,5.0
11.0,-8.75,0.0,58.852432112755,5.0
11.0,-8.417487255696,-1.441524244981,105.77157684813781,5.0
10.0,10.0,0.0,59.34206856627849,5.0
10.0,10.0,-2.5,59.63314136826954,5.0
8.954208646248,11.0,-1.212187388043,44.379677063695134,5.0
11.0,9.523198680788,-1.115828158078,58.58869241538631,5.0
10.0,0.0,0.0,265.96981529966695,5.0
11.0,0.0,0.0,216.58223220253635,5.0
11.0,-1.25,0.0,448.990289272455,5.0
11.0,-0.575379592621,-1.429520530143,334.37411704100106,5.0
11.0,0.0,-14.2043,15.695948343524856,100.0
11.0,2.750048726052,-9.500318484382,30.163774067045388,100.0
7.464567985486,0.051704139931,-7.835158067459,30.344378374024803,100.0
11.0,-1.47686794996,-10.09281414796,18.604714377387502,100.0
0.0,0.0,0.0,158.59876883618432,5.0
5.0,0.0,0.0,136.4185180875388,5.0
5.0,0.0,-2.5,134.40760612639085,5.0
3.251159637515,2.49970172174,0.0,116.03045184950234,5.0
-11.0,3.75,0.0,155.61744554061002,5.0
-10.0,5.0,0.0,196.50577389178963,5.0
-8.469270829822,2.9742777851,0.0,234.43549167570777,5.0
-11.0,3.835195987438,-1.225500135778,202.15006279096718,5.0
-10.0,0.0,-2.5,173.21870054391496,5.0
-9.538421716503,-1.859455360525,0.0,137.34762552131818,5.0
-8.753043453279,-2.333754178184,-2.281265590866,133.33364132458547,5.0
-8.338803398701,-0.195492269697,0.0,111.39645082261484,5.0
3.926950273557,8.429587983656,-5.434710690593,65.06043302091689,100.0
7.573013910667,4.192445991868,-5.478220440327,68.66418997433344,100.0
2.719327598846,6.976577021744,-9.799821050214,22.59282493397543,100.0
8.085323449398,7.437044290467,-8.350717684539,43.16424302691022,100.0
2.571059227139,9.147381449944,-2.616019466683,61.342689091585726,5.0
1.66892008996,9.671300202883,0.0,46.632476478649146,5.0
3.551520487731,11.0,-1.423834688183,35.12400054008529,5.0
1.777176051215,11.0,-1.701045424272,50.92968262109673,5.0
11.0,-9.822733550051,-2.499135432869,68.81555010497257,5.0
10.0,-10.0,-2.5,95.00259711145951,5.0
11.0,-11.0,-2.5,52.732579438306,5.0
11.0,-11.0,-1.25,42.1696363359056,5.0
6.964944485764,-9.018768084093,-2.060588117181,251.66013937839907,5.0
9.158437334364,-7.427672813074,-1.837158939527,232.4484893245248,5.0
8.44985025903,-9.830260403807,0.0,170.97895822838194,5.0
-7.737478180165,-0.951312666993,-6.928375267817,41.37042975819185,100.0
-11.0,-3.6637968465,-5.776117842308,94.63834214001044,100.0
-9.161828177958,-0.92653104664,-4.344833718125,80.38381323586547,5.0
-11.0,-0.864283582608,-7.018625919073,56.81589620473579,100.0
6.573305384191,-11.0,-2.847240682639,156.48414690367616,5.0
4.812362618405,-8.949821680236,-4.451818358765,88.77656166123177,5.0
5.0,-10.0,-2.5,252.84165288005156,5.0
-5.0,0.0,-2.5,117.43143882478378,5.0
-5.0,0.0,0.0,172.6012078498918,5.0
0.0,0.0,-2.5,125.2405521499312,5.0
-2.5,2.5,0.0,84.48503146265942,5.0
5.0,-5.0,0.0,127.22709047496723,5.0
5.0,-5.0,-2.5,140.73791903463942,5.0
5.045154670843,-8.073481826115,0.0,346.50731255478803,5.0
3.067422670805,-7.261485866827,-2.119989769555,149.7884496723995,5.0
5.0,5.0,-2.5,128.17597474291125,5.0
6.670827432886,2.426402154651,0.0,115.29148026148151,5.0
0.0,5.0,-2.5,144.85157496237133,5.0
2.5,-2.5,0.0,146.2889523837416,5.0
0.0,-5.0,0.0,131.15793271170483,5.0
-2.06174787423,8.912216499171,-2.076458176898,242.72819686359134,5.0
-3.215520554776,11.0,-1.689667865568,343.7515383358372,5.0
-1.824902024377,11.0,-3.150289272683,143.06854076275826,5.0
-3.836816761646,11.0,-3.614146971252,121.28192412154601,5.0
11.0,3.645297524225,-3.9086550906,131.435029918325,5.0
10.0,5.0,-2.5,204.965436210963,5.0
8.857400916309,2.025743082884,-2.577151141411,137.58261593563412,5.0
9.224359971935,1.509639330139,0.0,116.65052978095525,5.0
11.0,3.223700057311,-1.758402794227,281.5180145721794,5.0
11.0,1.168924728731,-1.340539822899,115.39637941248624,5.0
11.0,2.5,0.0,171.1324247481105,5.0
11.0,3.75,0.0,2526.68669125208,5.0
9.252816092787,3.408134110708,0.0,668.419094237266,5.0
3.75,11.0,0.0,47.73804248942275,5.0
5.0,10.0,0.0,38.33395388209724,5.0
3.580023334579,8.865035339898,0.0,24.85563881858761,5.0
-5.192459779503,2.380356925378,-4.448306288013,131.64072812612605,5.0
-5.375709899,2.58137177061,-9.139794904729,14.103943252482713,100.0
-3.180117208428,7.647000299019,-5.130398776234,69.54748081968046,100.0
0.195367191162,3.003700776566,-6.784332420172,65.56626023233467,100.0
-10.0,10.0,0.0,48.11853402397646,5.0
-10.0,10.0,-2.5,75.5166141842152,5.0
-9.17350825047,8.24691647455,0.0,257.08038664782475,5.0
-11.0,9.415661710766,-1.306022396122,85.82895527809706,5.0
-9.804087515704,11.0,-2.540338011008,53.564943210437235,5.0
