25
# x y z 
-10	-10	0
-5	-10	0
0	-10	0
5	-10	0
10	-10	0
-10	-5	0
-5	-5	0
0	-5	0
5	-5	0
10	-5	0
-10	0	0
-5	0	0
0	0	0
5	0	0
10	0	0
-10	5	0
-5	5	0
0	5	0
5	5	0
10	5	0
-10	10	0
-5	10	0
0	10	0
5	10	0
10	10	0
225
# a b m n r k err rhoa 
22	23	24	25	-5.60413306338780e-02	-9.42477796076938e+01	2.78439731656814e-02	5.28177097850363e+00
1	2	4	5	-1.68427350632502e-02	-3.76991118430775e+02	6.93727797916823e-02	6.34956152892792e+00
2	3	5	6	-1.13274877869968e-01	-7.36495156836297e+01	1.88280827912075e-02	8.34263989424545e+00
3	4	6	7	-2.09138980739357e-02	-2.43709338715399e+02	5.78150938894680e-02	5.09691226956012e+00
4	5	7	8	-2.00956406036787e-02	-2.43709338715399e+02	5.97620364397311e-02	4.89749528258486e+00
5	6	8	9	-1.11322930985269e-01	-7.36495156836297e+01	1.89828752364805e-02	8.19887995154720e+00
6	7	9	10	-1.58118099877248e-02	-3.76991118430775e+02	7.32438665008200e-02	5.96091193168727e+00
7	8	10	11	-1.10143282170143e-01	-7.36495156836297e+01	1.90790829935071e-02	8.11199938763640e+00
8	9	11	12	-2.04839290640240e-02	-2.43709338715399e+02	5.88187591782039e-02	4.99212480648643e+00
9	10	12	13	-1.97383259747544e-02	-2.43709338715399e+02	6.06628576951771e-02	4.81041437065638e+00
10	11	13	14	-1.10491504799852e-01	-7.36495156836297e+01	1.90504695524912e-02	8.13764581566455e+00
11	12	14	15	-1.57345600409986e-02	-3.76991118430775e+02	7.35543667820619e-02	5.93178938787224e+00
12	13	15	16	-1.09671130289556e-01	-7.36495156836297e+01	1.91181699081589e-02	8.07722563030205e+00
13	14	16	17	-2.07586308880077e-02	-2.43709338715399e+02	5.81727338086493e-02	5.05907220635341e+00
14	15	17	18	-2.03697143548520e-02	-2.43709338715399e+02	5.90924900850072e-02	4.96428961524255e+00
15	16	18	19	-1.12458676309143e-01	-7.36495156836297e+01	1.88921551704117e-02	8.28252704459047e+00
16	17	19	20	-1.67786887742722e-02	-3.76991118430775e+02	6.95994128893649e-02	6.32541664681477e+00
17	18	20	21	-1.12063170070331e-01	-7.36495156836297e+01	1.89235383879681e-02	8.25339820165211e+00
18	19	21	22	-2.16381122066054e-02	-2.43709338715399e+02	5.62147524909651e-02	5.27341001692140e+00
19	20	22	23	-2.07175486483350e-02	-2.43709338715399e+02	5.82682588067854e-02	5.04906008088983e+00
20	21	23	24	-1.15241963403466e-01	-7.36495156836297e+01	1.86773946786985e-02	8.48751479109585e+00
21	22	24	25	-1.79728547307150e-02	-3.76991118430775e+02	6.56394637904147e-02	6.77560660632609e+00
1	2	5	6	-9.15426267605998e-02	-8.35026830420010e+01	2.09238726851828e-02	7.64405494722257e+00
5	6	9	10	-9.14657951314170e-02	-8.35026830420010e+01	2.09330487813856e-02	7.63763930004332e+00
6	7	10	11	-8.88866789962699e-02	-8.35026830420010e+01	2.12502796964882e-02	7.42227618288161e+00
10	11	14	15	-9.06329529779606e-02	-8.35026830420010e+01	2.10335144905096e-02	7.56809474567923e+00
11	12	15	16	-8.85797175653009e-02	-8.35026830420010e+01	2.12892660699985e-02	7.39664407980529e+00
15	16	19	20	-9.13526965125569e-02	-8.35026830420010e+01	2.09465843721706e-02	7.62819526192015e+00
16	17	20	21	-8.93225269974575e-02	-8.35026830420010e+01	2.11953841165786e-02	7.45867066037927e+00
20	21	24	25	-9.23301081370813e-02	-8.35026830420010e+01	2.08307032253803e-02	7.70981175500438e+00
1	2	6	7	1.15081522700867e-01	5.36303412266898e+01	1.86894922532379e-02	6.17186133133454e+00
2	3	7	8	1.14490975979367e-01	5.36303412266898e+01	1.87343128263682e-02	6.14019010915019e+00
3	4	8	9	1.14453544582255e-01	5.36303412266898e+01	1.87371693349464e-02	6.13818265055049e+00
4	5	9	10	1.14997002760037e-01	5.36303412266898e+01	1.86958788142217e-02	6.16732849806737e+00
5	6	10	11	3.85569758863997e-01	2.05818045373816e+01	1.25935643992057e-02	7.93572141246415e+00
6	7	11	12	1.13464304101044e-01	5.36303412266898e+01	1.88133444956351e-02	6.08512934598788e+00
7	8	12	13	1.12632343507931e-01	5.36303412266898e+01	1.88784444046446e-02	6.04051101549208e+00
8	9	13	14	1.12847453142897e-01	5.36303412266898e+01	1.88615203280992e-02	6.05204741861645e+00
9	10	14	15	1.14041268117422e-01	5.36303412266898e+01	1.87687555260290e-02	6.11607212306176e+00
10	11	15	16	3.83149916237942e-01	2.05818045373816e+01	1.26099444567776e-02	7.88591668452346e+00
11	12	16	17	1.14008851782807e-01	5.36303412266898e+01	1.87712487615002e-02	6.11433362397504e+00
12	13	17	18	1.13072143017948e-01	5.36303412266898e+01	1.88439112703583e-02	6.06409761328562e+00
13	14	18	19	1.14279456265056e-01	5.36303412266898e+01	1.87504791559441e-02	6.12884623469552e+00
14	15	19	20	1.14284195841994e-01	5.36303412266898e+01	1.87501162573920e-02	6.12910041982398e+00
15	16	20	21	3.89198345517534e-01	2.05818045373816e+01	1.25693839953771e-02	8.01040427371420e+00
16	17	21	22	1.15883171565042e-01	5.36303412266898e+01	1.86293806641176e-02	6.21485403346424e+00
17	18	22	23	1.15239246680975e-01	5.36303412266898e+01	1.86775992450590e-02	6.18032012220737e+00
18	19	23	24	1.15677404109506e-01	5.36303412266898e+01	1.86447306429296e-02	6.20381865461049e+00
19	20	24	25	1.15307186237125e-01	5.36303412266898e+01	1.86724863612883e-02	6.18396374378648e+00
4	5	10	11	-8.30651089024847e-02	-9.06307466119545e+01	2.20387490393104e-02	7.52825283723549e+00
