Resistivity(log10),Resistivity/Ohmm,x,y,z
2.0057,101.33,-44,38.617,-16.257
1.9979,99.541,44,-23.474,-20.915
1.9856,96.738,44,-25.742,-14.357
2.0163,103.82,-32.845,-44,-12.721
2.0177,104.15,-31.271,-44,-19.312
2.0169,103.96,-37.99,-44,-17.886
2.0161,103.79,-37.197,-37.994,-18.65
1.9982,99.583,4.4504,-44,-4.8531
2.0043,101.02,0,40,0
1.9966,99.227,0,44,0
2.006,101.39,5,44,0
1.9783,95.12,-44,-12.717,-6.9292
1.9804,95.606,-38.738,-13.576,0
2.0074,101.72,-39.346,44,-10.628
2.0053,101.23,-44,44,-10
2.0043,101.02,-44,44,-5
2.0324,107.76,-44,1.3763,-43.795
2.0312,107.45,-33.279,-18.288,-41.907
2.0071,101.68,20,40,0
2.0126,102.96,14.315,44,-5.7202
2.0013,100.3,20.117,44,-3.9488
1.9833,96.265,36.644,-12.524,-10.264
1.9869,97.041,44,-11.365,-18.132
1.9996,99.929,35.328,-8.4811,-20.872
1.9808,95.693,44,-5.9193,-14.579
2.0131,103.07,-44,-44,-10
2.0284,106.77,44,28.658,-37.927
2.02,104.73,44,9.9771,-35.955
2.0186,104.37,44,20.191,-29.42
2.0248,105.89,33.885,17.988,-35.064
2.0161,103.79,32.961,44,-12.207
2.019,104.47,33.2,44,-19.782
2.0129,103.03,37.202,36.52,-17.237
2.0127,102.98,25.93,44,-15.056
2.0185,104.37,40,-44,0
1.9983,99.694,40,-40,0
2.0188,104.42,44,44,-22.334
2.0292,106.96,44,44,-34.667
2.0206,104.86,44,35.446,-26.062
2.024,105.68,34.849,44,-28.496
2.0074,101.71,-44,-33.987,-13.729
1.9869,97.073,44,-40,0
1.9856,96.789,44,-35.841,-4.942
2.0062,101.46,32.445,-20.712,-23.827
2.0074,101.75,13.414,-30.92,-25.561
1.9979,99.518,-44,-32.713,-6.851
2.0151,103.55,-10,-44,0
1.9996,99.926,-5,-44,0
2.005,101.18,-7.2968,-44,-6.9626
2.0067,101.57,-6.7005,-39.096,0
2.018,104.24,30.895,31.65,-24.434
2.0321,107.68,29.793,44,-40.696
2.0364,108.75,44,22,-59.335
2.008,101.87,44,39.391,-10.686
2.0145,103.4,38.631,44,-16.06
2.0153,103.6,-9.7573,44,-37.265
2.0283,106.75,0,44,-59.335
2.0181,104.29,11.432,44,-37.556
2.0133,103.16,9.0834,21.97,-31.776
2.0025,100.58,-20,20,-10
1.993,98.434,-36.533,28.131,-11.814
1.9897,97.734,-32.333,18.832,0
2.0002,100.06,-28.319,27.566,0
1.9637,91.988,44,15,0
1.9777,95.037,36.948,13.605,0
1.9699,93.312,44,19.868,-4.0186
1.9735,94.077,44,12.769,-6.8301
2.0057,101.32,-20,0,0
2.0103,102.4,0,0,0
2.0075,101.74,-10,-10,0
1.9964,99.219,-31.748,7.0829,0
1.9872,97.142,-36.218,8.3234,-10.646
2.0263,106.25,-44,-44,-34.667
2.0208,104.9,-35.277,-44,-25.845
2.021,104.95,-44,-35.82,-26.18
1.9739,94.168,-44,0.53188,-10.467
1.9793,95.362,-40,0,-10
1.9722,93.803,-44,1.785,-4.5908
1.9663,92.544,38.104,-12.838,0
1.9766,94.747,-44,-4.4685,-5.0642
1.9807,95.669,-44,-6.9136,-13.141
2.0178,104.19,13.277,37.947,0
2.0033,100.76,-44,39.994,-10.668
2.0101,102.36,44,44,-5
2.0084,101.97,7.3061,44,-6.9391
2.0162,103.81,10,44,0
2.0032,100.75,25.923,39.045,0
1.9766,94.776,-40,20,-10
1.9982,99.581,8.6944,-31.516,-15.295
1.9983,99.604,0.88138,-36.881,-20.88
1.9991,99.822,0,-40,0
1.9958,99.047,-1.7617,-44,-4.5195
1.9768,94.82,40,20,0
1.9918,98.131,-44,-35,0
2.0113,102.69,-40,-40,0
2.0017,100.41,-44,-38.185,-4.5568
1.9991,99.804,-39.42,-33.646,0
2.0034,100.79,44,34.046,-13.809
2.0115,102.69,44,32.166,-19.111
2.0115,102.71,-38.16,44,-4.5628
2.014,103.32,10.864,-10.211,-31.879
2.0211,105,1.4213,-31.942,-40.751
1.9896,97.632,0,-44,0
2.0098,102.29,-5.7068,35.462,0
2.0047,101.11,0,20,-10
2.0014,100.31,-4.2443,-44,-24.147
2.0051,101.19,4.486,-44,-26.735
2.0175,104.12,-12.757,-38.071,0
1.9744,94.269,44,-0.64702,-10.16
1.9866,97.009,-36.326,33.362,0
1.9981,99.58,-27.147,36.834,0
2.0242,105.76,40,44,0
2.0208,104.92,38.465,44,-4.2091
2.0297,107.08,-44,-30.926,-34.858
2.0052,101.23,-34.59,-32.063,-10.67
1.9706,93.463,44,0,0
2.0293,106.97,-35,-44,0
2.0148,103.48,-33.363,-36.325,0
1.9973,99.38,20,44,0
1.9982,99.585,25,44,0
1.9837,96.38,32.805,-21.288,0
1.9892,97.538,44,30,0
1.9918,98.151,39.161,33.849,0
1.9923,98.258,44,32.786,-7.0442
2.0076,101.77,-10,10,0
2.0053,101.24,-20,-20,0
1.9932,98.462,-36.843,-27.144,0
1.9981,99.557,5.7304,44,-15.201
1.9963,99.142,-1.6152,44,-17.006
2.0113,102.63,-44,44,-22.334
2.0211,104.98,-44,44,-34.667
2.0157,103.68,-36.067,44,-26.454
2.0148,103.47,-44,35.264,-29.554
2.0332,107.96,16.719,16.178,-59.335
2.0369,108.87,22,44,-59.335
2.0277,106.59,-7.7739,-44,-44.817
2.0086,102,-1.5167,-44,-33.192
2.0007,100.17,-5,44,0
1.9738,94.141,-44,20.163,-10.09
1.9803,95.575,-44,13.807,-13.766
1.9844,96.476,-44,20.02,-14.909
2.0018,100.42,20,-40,-10
2.003,100.69,12.971,-38.438,-9.1875
1.9856,96.742,-44,-24.837,-5.1489
2.0019,100.45,30,-44,0
2.0118,102.76,-44,-44,-5
2.0001,100.02,-14.823,44,-17.115
1.9855,96.758,-44,35.815,-4.9276
1.9651,92.288,44,-15.297,-4.9537
2.0067,101.56,-44,44,-16.167
1.9654,92.349,44,20,0
1.9813,95.817,44,25,0
2.0112,102.61,-44,-31.428,-19.469
2.0163,103.82,-44,-26.885,-25.398
2.0044,101.03,-44,-25.429,-19.08
2.0074,101.73,22.88,-44,-18.324
2.0048,101.12,22.834,-44,-12.767
2.0142,103.34,-36.232,31.489,-28.243
1.9988,99.744,-44,20.343,-21.205
2.002,100.47,-20.918,44,-10.391
1.9975,99.421,-24.777,44,-5.3975
2.0123,102.9,-30,-44,0
2.0357,108.57,-32.672,-32.09,-59.335
2.0358,108.6,-32.781,-15.749,-59.335
1.981,95.716,-44,-19.941,-10.156
2.0291,106.94,-0.96543,-0.13305,-59.335
2.0285,106.78,-12.529,20.45,-59.335
2.0092,102.16,-20,20,0
2.0026,100.59,-19.922,44,-15.342
2.0087,102.04,-11.793,44,-6.009
2.0109,102.53,-10,44,0
1.9994,99.869,24.65,-44,-6.1974
1.9938,98.596,-44,-27.242,-13.012
2.009,102.09,26.862,44,-6.8164
2.0079,101.83,10,-44,0
2.0071,101.65,11.613,-44,-5.9461
2.0119,102.79,15,44,0
2.0075,101.75,29.257,14.302,-18.552
2.0327,107.81,17.6,-16.234,-59.335
1.9864,96.961,-44,40,0
1.9999,100.07,-40,40,0
1.968,92.9,-44,35,0
2.0068,101.59,-26.908,-44,-7.0114
2.0003,100.08,-8.8846,44,-21.957
1.999,99.768,0.15766,32.916,-20.214
2.0037,100.87,20,0,-10
1.9928,98.416,31.319,-5.3311,0
1.9921,98.218,44,14.027,-14.597
2.0074,101.71,28.087,-44,-13.095
2.0016,100.37,-25.809,-37.451,0
2.0231,105.47,-44,-9.2187,-34.349
2.0132,103.12,-44,0.72529,-29.446
2.0105,102.45,15,-44,0
2.0017,100.42,20,-40,0
2.0055,101.29,17.7,-44,-5.7154
2.0114,102.67,13.275,-38.785,0
1.9746,94.32,-40,0,0
1.9742,94.241,-44,0,0
1.9709,93.518,-44,5,0
2.0189,104.45,-44,-44,-22.334
2.0125,102.93,30.628,-44,-19.935
2.0143,103.37,32.886,-34.196,-25.592
2.0081,101.89,44,16.518,-22.704
2.013,103.04,44,25.76,-23.298
2.0063,101.48,37.468,23.855,-18.05
2.0234,105.55,-29.354,44,-37.817
2.0157,103.68,-29.394,44,-26.79
2.015,103.52,30,44,0
2.0202,104.77,33.795,44,-5.6151
2.0022,100.52,20,0,0
2.0066,101.56,10,-10,0
2.0061,101.42,19.993,44,-10.16
2.0012,100.3,37.662,5.8806,-20.929
1.9984,99.635,44,7.4112,-20.456
1.9759,94.6,-39.096,6.6994,0
1.9963,99.161,44,20.761,-16.559
2.0301,107.18,0,-44,-59.335
2.0192,104.53,11.063,-44,-38.858
2.0341,108.18,44,0,-59.335
2.025,105.94,28.147,-28.468,-39.404
1.9819,95.928,44,6.2274,-12.371
1.9919,98.164,35.962,28.084,0
2.0103,102.41,-21.241,44,-23.657
1.97,93.33,44,-20,0
1.9676,92.834,40,-20,0
1.9599,91.175,44,-15,0
2.0299,107.12,44,-30.639,-44.748
2.0168,103.95,44,-26.641,-30.048
2.0233,105.52,44,-36.228,-36.52
2.0027,100.63,-27.576,-28.315,0
2.0111,102.58,-25.704,-44,-15.159
2.0308,107.36,22,-44,-59.335
2.0318,107.6,44,-44,-59.335
2.0341,108.16,44,-22,-59.335
2.0193,104.55,-44,15.312,-34.995
1.9993,99.875,-44,9.0244,-21.89
2.0058,101.37,-44,-19.519,-21.336
2.0199,104.7,-44,-18.93,-30.522
2.0049,101.13,-13.119,-44,-20.603
2.0148,103.46,-23.849,-44,-23.841
2.0052,101.21,-12.873,-39.15,-21.848
2.026,106.18,-44,30.73,-41.228
2.0081,101.88,13.002,9.9772,0
1.9837,96.331,-44,25.65,-14.243
2.0143,103.36,24.066,-44,-27.947
2.0018,100.42,13.147,-44,-20.919
1.9895,97.649,35.551,9.2783,-8.4527
2.0225,105.34,28.14,-1.4845,-36.438
1.9989,99.77,-44,-40,0
1.9658,92.437,-40,20,0
2.0116,102.71,-44,-44,0
2.0236,105.6,-40,-44,0
2.0071,101.66,44,-44,0
2.0079,101.84,-44,44,0
2.0203,104.79,-40,44,0
2.0102,102.39,44,44,0
2.0024,100.55,19.76,-44,-10.337
2.0027,100.62,18.582,-44,-14.928
2.002,100.46,14.742,-44,-11.73
1.9943,98.703,-44,-30,0
2.0038,100.9,-44,31.986,-20.538
1.9784,95.158,-44,-10,0
1.9796,95.416,-44,-5,0
1.9864,96.945,-35.518,-5.7235,0
2.0087,102.03,20,20,0
2.0115,102.69,0,20,0
1.9881,97.297,44,0.6341,-16.349
1.9972,99.368,-5.9038,-44,-15.217
1.9816,95.858,44,-25,0
1.9761,94.658,44,-21.666,-4.4879
1.9789,95.273,39.239,-25.688,0
2.0123,102.88,44,38.263,-18.198
1.9808,95.683,44,-27.5,-6.6642
1.9858,96.799,-44,-0.26899,-18.619
2.0304,107.26,-44,44,-59.335
2.0114,102.66,6.7986,39.07,0
2.0223,105.31,44,-12.56,-38.95
2.034,108.15,-22,-44,-59.335
1.9777,95,-44,5.9164,-14.343
2.002,100.47,-15.553,44,-11.389
1.9768,94.799,44,-30,0
1.9806,95.65,36.958,-32.153,0
1.9684,92.979,-44,20,0
1.9623,91.696,-44,15,0
2.0099,102.31,34.011,-44,-13.831
2.0046,101.07,26.666,9.4906,0
2.0093,102.17,-38.198,44,-18.176
1.9976,99.449,5,-44,0
2.0361,108.66,-44,0,-59.335
2.0024,100.57,12.528,44,-21.254
2.0163,103.84,23.624,44,-25.267
2.0369,108.86,-44,-22,-59.335
2.0298,107.11,-22,44,-59.335
2.0347,108.32,-44,-17.837,-44.372
1.9684,92.975,44,-35,0
2.0363,108.72,-33,-44,-59.335
2.0373,108.96,-44,-44,-59.335
2.0354,108.49,-44,-44,-47.001
1.9902,97.775,-25,44,0
2.0022,100.54,44,-3.7322,-23.885
2.0371,108.92,44,44,-59.335
2.0118,102.75,-44,26.423,-29.37
2.0025,100.59,1.7343,44,-24.623
2.0019,100.45,44,-15.884,-24.457
1.9981,99.581,20,-44,0
1.9927,98.335,-25,-44,0
1.992,98.188,-20,-44,0
2.0328,107.84,-44,22,-59.335
1.9868,97.01,-44,-25,0
1.9899,97.7,25,-44,0
2.0258,106.12,31.966,-44,-42.283
2.0311,107.42,35,44,0
2.028,106.67,44,-44,-47.001
