25
# x y z 
-40	-40	0
-20	-40	0
0	-40	0
20	-40	0
40	-40	0
-40	-20	0
-20	-20	0
0	-20	0
20	-20	0
40	-20	0
-40	0	0
-20	0	0
0	0	0
20	0	0
40	0	0
-40	20	0
-20	20	0
0	20	0
20	20	0
40	20	0
-40	40	0
-20	40	0
0	40	0
20	40	0
40	40	0
251
# a b m n r k err rhoa 
3	4	6	7	-1.01612286675478e-01	-9.74837354861596e+02	1.98413295548965e-02	9.90554527641611e+01
4	5	7	8	-1.00369569328547e-01	-9.74837354861596e+02	1.99631791457292e-02	9.78440054728383e+01
5	6	8	9	-3.48063798880924e-01	-2.94598062734519e+02	1.28730365042706e-02	1.02538920858337e+02
6	7	9	10	-6.53768764405066e-02	-1.50796447372310e+03	2.52959280780263e-02	9.85860070752687e+01
7	8	10	11	-3.46641566590938e-01	-2.94598062734519e+02	1.28848242576173e-02	1.02119933980949e+02
8	9	11	12	-1.02384818789204e-01	-9.74837354861596e+02	1.97670730077558e-02	9.98085459264514e+01
9	10	12	13	-1.01683175821177e-01	-9.74837354861596e+02	1.98344686023441e-02	9.91245581514428e+01
10	11	13	14	-3.45241204012806e-01	-2.94598062734519e+02	1.28965256417160e-02	1.01707389878305e+02
11	12	14	15	-6.53050788358921e-02	-1.50796447372310e+03	2.53127447026432e-02	9.84777388382116e+01
12	13	15	16	-3.46317837861791e-01	-2.94598062734519e+02	1.28875209148166e-02	1.02024564124491e+02
13	14	16	17	-1.01938580388790e-01	-9.74837354861596e+02	1.98098285868416e-02	9.93735360645542e+01
14	15	17	18	-1.00991930426072e-01	-9.74837354861596e+02	1.99017812193621e-02	9.84507063189183e+01
15	16	18	19	-3.44944253765489e-01	-2.94598062734519e+02	1.28990191576864e-02	1.01619908910717e+02
16	17	19	20	-6.51370350784383e-02	-1.50796447372310e+03	2.53522492817764e-02	9.82243348219403e+01
17	18	20	21	-3.46880318785720e-01	-2.94598062734519e+02	1.28828386790596e-02	1.02190269915005e+02
18	19	21	22	-1.00562708769239e-01	-9.74837354861596e+02	1.99440439924376e-02	9.80322850143219e+01
19	20	22	23	-1.00935932334536e-01	-9.74837354861596e+02	1.99072746134217e-02	9.83961172874881e+01
20	21	23	24	-3.48447687975651e-01	-2.94598062734519e+02	1.28698712446899e-02	1.02652013841949e+02
21	22	24	25	-6.51257812095564e-02	-1.50796447372310e+03	2.53549021820142e-02	9.82073643874745e+01
1	2	5	6	-3.07240460990857e-01	-3.34010732168004e+02	1.32547796497082e-02	1.02621611327191e+02
2	3	6	7	-2.42414574115132e-02	-3.80798727263391e+03	5.12516451888351e-02	9.23111612931393e+01
3	4	7	8	-2.20938689933144e-02	-3.80798727263391e+03	5.52614252534312e-02	8.41331719297823e+01
4	5	8	9	-2.13833604032752e-02	-3.80798727263391e+03	5.67653344067864e-02	8.14275642618159e+01
5	6	9	10	-3.05179742952657e-01	-3.34010732168004e+02	1.32767574620938e-02	1.01933309386460e+02
