,time,A,B,M,N,inj time [ms],Vmn [mV],I [mA],R [ohm],Nb samples [-],x,y,z,Rhoa,fulldata
10,1668791434.6922472,2,3,6,7,1,0.021545834892385426,0.05,0.4309166978477085,20,[-2.],[0.],[0.8],[44.93289641],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([ 0.00843286,  0.02213712,  0.02417569,  0.02850143,  0.02348396,
        0.01458265,  0.02699727,  0.03482042,  0.02663724,  0.02630949,
        0.01989737,  0.00661902,  0.03345   ,  0.02072173,  0.01908664,
        0.04928237,  0.01202914,  0.02738087,  0.03239318,  0.01946193,
        0.03083593,  0.00661419, -0.00093597, -0.00476074, -0.00833865,
       -0.00557996, -0.00670456,  0.00050276,  0.00464476, -0.00165627,
        0.00798554, -0.00552749, -0.0055219 , -0.01667048,  0.00081734,
       -0.00585111, -0.00082244, -0.01247603, -0.0196443 ,  0.00176472])]"
11,1668791434.6938891,3,4,7,8,1,0.0023448792697380524,0.05,0.04689758539476105,20,[-2.],[0.],[0.8],[44.93289641],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([ 0.01262537,  0.00315462,  0.00710664,  0.00404219,  0.00747263,
        0.00659362, -0.00472208,  0.00519087, -0.00170815, -0.00700918,
       -0.00299235,  0.00826301,  0.01653111,  0.00807076, -0.00127057,
        0.00201634, -0.00944428, -0.00318013,  0.00305588,  0.00026987,
        0.00130691,  0.01147462, -0.00818698,  0.00741738, -0.00307113,
        0.01738158, -0.0087915 ,  0.00400453, -0.00362314, -0.00825378,
       -0.00949331,  0.00310726,  0.00576034,  0.00838358, -0.00307573,
        0.01386513,  0.00399384, -0.01186331,  0.00544789, -0.00242112])]"
12,1668791434.695503,1,2,6,7,1,0.0021507568555495073,0.05,0.04301513711099014,20,[-2.5],[0.],[1.],[36.78794412],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00582177,  0.00362953,  0.01681729,  0.02043575,  0.0126163 ,
        0.01171716,  0.00032575,  0.00588655, -0.0017778 , -0.00803713,
        0.0038271 ,  0.02064237,  0.0093651 , -0.01111264,  0.00849122,
        0.00623616,  0.00915185,  0.00684496,  0.00694363,  0.01061866,
        0.0056411 , -0.00995199, -0.00051099,  0.00168159,  0.01457633,
        0.00301616, -0.00056075, -0.00308647, -0.00742433,  0.00315511,
       -0.00664897,  0.01078113,  0.0078936 , -0.00761991, -0.00520179,
       -0.00348384, -0.00555163,  0.00242273, -0.00770343,  0.00158246])]"
13,1668791434.6970801,2,3,7,8,1,0.018961277056723132,0.05,0.3792255411344626,20,[-2.5],[0.],[1.],[36.78794412],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([ 0.00660045,  0.01291624,  0.02983637,  0.02516892,  0.01609554,
        0.01613768,  0.01660771,  0.02429686,  0.02335768,  0.01792152,
        0.02787472,  0.02396639,  0.02908414,  0.03850525,  0.02696148,
        0.02996027,  0.02175483,  0.01345418,  0.01288651,  0.02005719,
        0.00434037,  0.01371826,  0.01457353, -0.00332119,  0.00468577,
       -0.00920243,  0.00779835,  0.00834961,  0.00386301, -0.00578312,
        0.00203902,  0.01047206,  0.01394222,  0.00025889, -0.00635623,
        0.00383947, -0.0029934 ,  0.0039825 , -0.00960508, -0.00424055])]"
14,1668791434.6986618,1,2,7,8,1,0.00236892630514717,0.05,0.0473785261029434,20,[-3.],[0.],[1.2],[30.11942119],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00083315,  0.00112647, -0.00552992, -0.0103531 , -0.00537993,
       -0.00112193,  0.0041713 , -0.01321396,  0.01780175, -0.01147163,
        0.00065229, -0.00467755, -0.01795718,  0.0049965 ,  0.00520461,
        0.00240093,  0.01876727,  0.00052493,  0.01671947,  0.01025273,
        0.00666203, -0.00951195, -0.01554023, -0.002535  ,  0.0074286 ,
       -0.00150258, -0.00029886,  0.00627364, -0.01320448, -0.00652604,
       -0.00497563,  0.00574632, -0.0080154 , -0.00261454, -0.01504991,
        0.00379809, -0.0018266 , -0.00581915,  0.00232148,  0.0002176 ])]"
15,1668791434.7004611,9,10,11,12,1,0.1885259236227736,0.05,3.7705184724554717,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([0.00353543, 0.17597132, 0.20385173, 0.18810232, 0.20923398,
       0.20190779, 0.20333254, 0.18715852, 0.21049461, 0.19332303,
       0.19465745, 0.1948899 , 0.20546538, 0.20251531, 0.18908586,
       0.20696418, 0.19093712, 0.19818744, 0.21853587, 0.18569501,
       0.22333561, 0.02932542, 0.03084134, 0.02735753, 0.04147325,
       0.03449578, 0.02867665, 0.04034844, 0.03130881, 0.04454241,
       0.02200108, 0.02694797, 0.02342739, 0.03479473, 0.02186359,
       0.04491626, 0.01846962, 0.02323026, 0.01212988, 0.02308764])]"
16,1668791434.702396,10,11,12,13,1,0.1775952212606648,0.05,3.5519044252132956,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00809308,  0.18585069,  0.17610246,  0.17749835,  0.17199354,
        0.18472839,  0.18296579,  0.18230375,  0.19811944,  0.18752251,
        0.168009  ,  0.19944151,  0.19438918,  0.18637552,  0.2038456 ,
        0.19515601,  0.19971356,  0.2111953 ,  0.19346867,  0.19275501,
        0.21127123,  0.04449515,  0.0371732 ,  0.02953094,  0.03615166,
        0.03218051,  0.01896467,  0.03439902,  0.0223965 ,  0.02201782,
        0.01401043,  0.01743455,  0.01627305,  0.026462  ,  0.01680255,
        0.0134531 ,  0.02522402,  0.02400462,  0.01536744,  0.00440308])]"
17,1668791434.7042801,11,12,13,14,1,0.17373088558588523,0.05,3.4746177117177046,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.0066674 ,  0.1843607 ,  0.14740177,  0.18031667,  0.17650423,
        0.17509311,  0.18518935,  0.1803023 ,  0.16974159,  0.20111174,
        0.17352171,  0.18907182,  0.18150316,  0.17747441,  0.17025683,
        0.18212941,  0.18639864,  0.17779372,  0.18608136,  0.19277938,
        0.21381717,  0.02526046,  0.02815045,  0.03416154,  0.04143951,
        0.03748222,  0.03870794,  0.02544937,  0.02351852,  0.02999971,
        0.03351967,  0.00754951,  0.03125831,  0.01650905,  0.02193331,
        0.01619136,  0.01291942,  0.02303805,  0.01443427,  0.02412566])]"
18,1668791434.705966,12,13,14,15,1,0.18020875602557876,0.05,3.604175120511575,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00261954,  0.16332598,  0.18185292,  0.18592769,  0.18259354,
        0.18765283,  0.19198605,  0.17632271,  0.19226881,  0.1900219 ,
        0.19885822,  0.20277088,  0.18850124,  0.19291595,  0.20104056,
        0.201915  ,  0.19679683,  0.18677054,  0.19357526,  0.19310303,
        0.22074796,  0.03907705,  0.02129639,  0.03871257,  0.04329019,
        0.03159033,  0.01539305,  0.03206858,  0.01486068,  0.03952626,
        0.04536954,  0.00973863,  0.02690489,  0.03155064,  0.03234052,
        0.02299367,  0.03990276,  0.0170144 ,  0.00933538,  0.00711293])]"
19,1668791434.7076402,13,14,15,16,1,0.1716758915955344,0.05,3.4335178319106876,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00452552,  0.16313242,  0.16987843,  0.17156818,  0.16956432,
        0.17787398,  0.16668431,  0.17562432,  0.18108124,  0.17516202,
        0.16623222,  0.17029862,  0.18607175,  0.18095784,  0.19026432,
        0.18387999,  0.1846047 ,  0.19718548,  0.19048255,  0.19323968,
        0.20878057,  0.02839926,  0.04045526,  0.03104784,  0.02632479,
        0.01139708,  0.04190793,  0.01581425,  0.03253951,  0.02598418,
        0.03449495,  0.0192034 ,  0.03148072,  0.01609545,  0.03013518,
        0.02832597,  0.01490279,  0.01170863,  0.01653494,  0.02507788])]"
