,time,A,B,M,N,inj time [ms],Vmn [mV],I [mA],R [ohm],Nb samples [-],x,y,z,Rhoa,fulldata
10,1668791493.170341,2,3,6,7,1,0.003595131166118053,0.05,0.07190262332236105,20,[-2.],[0.],[0.8],[44.93289641],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00408026, -0.004693  ,  0.00923608,  0.00959506,  0.00097068,
        0.0117141 ,  0.02000533,  0.00151678,  0.01524777,  0.01659261,
        0.01523636,  0.0028271 ,  0.00267447,  0.0183673 , -0.00200575,
        0.01733489,  0.00483505, -0.00657927,  0.0005357 , -0.02043445,
        0.01176841, -0.00574192, -0.00615934,  0.00016809,  0.00780867,
       -0.00307053,  0.00300353, -0.02334   ,  0.00923976,  0.0115881 ,
        0.0092971 ,  0.00456519,  0.00399018, -0.01409909,  0.01444698,
        0.00117619, -0.00533822, -0.00136812,  0.00810634,  0.01099126])]"
11,1668791493.1720672,3,4,7,8,1,0.00934843196549889,0.05,0.18696863930997779,20,[-2.],[0.],[0.8],[44.93289641],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00697338,  0.01375195,  0.01840321,  0.01949522,  0.01540418,
        0.01094833,  0.00220051,  0.02128836,  0.01056274,  0.01424226,
        0.00327404,  0.00571457,  0.01854397,  0.02008974,  0.00923896,
        0.00764452,  0.00808201,  0.01080316,  0.01412031,  0.00742762,
        0.0111935 , -0.00533543, -0.00307489, -0.01534101,  0.0086918 ,
        0.00734832,  0.00547   , -0.00613255, -0.00128083, -0.012981  ,
        0.00951626, -0.0010575 , -0.01674415, -0.01330402, -0.01971345,
       -0.00440255,  0.00706191,  0.00258418,  0.00293011,  0.00437631])]"
12,1668791493.176713,1,2,6,7,1,0.006136406796963504,0.05,0.12272813593927008,20,[-2.5],[0.],[1.],[36.78794412],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-2.30005714e-03,  1.86846684e-02,  2.46985067e-02, -1.66220720e-03,
        2.62759725e-03,  2.59026965e-03,  3.53540133e-03,  7.44475773e-03,
        4.15318785e-03, -1.98303528e-03,  2.01252857e-02, -8.45271033e-03,
        1.75484025e-02,  9.22996504e-03,  3.04206554e-03, -2.39254141e-03,
        4.98523906e-03,  1.73391231e-02,  2.60617091e-03,  7.34076265e-04,
        1.05022193e-02, -1.87990252e-02,  6.35567548e-03, -9.42908603e-03,
        1.24163354e-02, -1.76865960e-03,  4.86241070e-03, -3.17607903e-05,
        3.12587055e-03, -2.50196132e-03,  1.03430551e-02,  8.91148948e-03,
       -9.82582502e-03, -2.84991655e-04, -4.72420305e-04,  6.10029182e-04,
       -7.00782991e-03,  1.14478695e-03,  4.32341455e-03, -2.12863964e-03])]"
13,1668791493.1847382,2,3,7,8,1,0.004355786258676512,0.05,0.08711572517353024,20,[-2.5],[0.],[1.],[36.78794412],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-8.43955471e-04, -1.54063771e-03, -4.37924201e-03,  1.47345372e-02,
        4.98099387e-03, -4.69221684e-03, -1.62247273e-03, -9.87537943e-04,
        5.94267232e-03, -3.90279599e-03,  6.26817089e-04,  4.88461660e-03,
        3.19439762e-03,  9.29436921e-03,  2.12598749e-02,  7.40379912e-03,
        4.01002222e-04,  3.88706080e-03,  8.41425696e-04, -6.43704679e-03,
        6.96398345e-03, -1.62939154e-03, -3.80449535e-03,  1.57630926e-02,
       -8.20164022e-03, -5.52651840e-04, -5.22138007e-03, -9.66297185e-03,
        8.08246168e-03,  4.66848051e-03,  1.76595524e-02, -6.73067920e-03,
        3.54294816e-03,  1.60808588e-02,  3.22649219e-04,  6.53983601e-03,
       -1.78811736e-05, -1.05122511e-02, -3.48075851e-03,  3.03655113e-03])]"
14,1668791493.193718,1,2,7,8,1,0.0052730843773318905,0.05,0.1054616875466378,20,[-3.],[0.],[1.2],[30.11942119],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([ 0.00621984,  0.01830894,  0.00195255,  0.00068528,  0.01279392,
        0.01333754,  0.00049991,  0.0123141 ,  0.00110031,  0.00273665,
        0.00191045, -0.00576143, -0.00151161,  0.00278423,  0.00325883,
        0.01495433,  0.00461978,  0.01198182,  0.0180387 ,  0.00425954,
       -0.00427309, -0.00374281, -0.00418146,  0.00796991,  0.01053859,
       -0.01387837, -0.0142498 , -0.00475156, -0.00384373,  0.0093775 ,
       -0.00235243,  0.00132276,  0.0062593 ,  0.00816339, -0.0006402 ,
        0.00081522,  0.00608657, -0.0007475 ,  0.00085126, -0.00577434])]"
15,1668791493.198036,9,10,11,12,1,0.17406819905582868,0.05,3.4813639811165733,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00270335,  0.16359662,  0.17830498,  0.18605871,  0.19191303,
        0.17533282,  0.18031431,  0.18393136,  0.17928907,  0.18908675,
        0.18353384,  0.18133098,  0.18819485,  0.17972257,  0.18521806,
        0.18369011,  0.18387487,  0.19166155,  0.16684998,  0.17922862,
        0.20003106,  0.01895697,  0.02651576,  0.03725541,  0.03410041,
        0.02992153,  0.03357358,  0.01429691,  0.02950588,  0.03082421,
        0.01999228,  0.03262953,  0.03089472,  0.03584662,  0.01793496,
        0.02561315,  0.01309118,  0.02376607,  0.02592976,  0.01339847])]"
16,1668791493.2049012,10,11,12,13,1,0.18892865932386618,0.05,3.7785731864773235,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([0.00687904, 0.17507096, 0.19770486, 0.17493667, 0.1987079 ,
       0.20240012, 0.19426806, 0.19988289, 0.19734927, 0.18402643,
       0.18798292, 0.19267721, 0.20602122, 0.19655874, 0.2025745 ,
       0.17289278, 0.2003484 , 0.21306098, 0.19563755, 0.20946421,
       0.22119692, 0.04352593, 0.04089056, 0.03971999, 0.02981528,
       0.04553933, 0.03518744, 0.02775322, 0.03467357, 0.03034538,
       0.03279112, 0.03154497, 0.04053773, 0.01591742, 0.02903975,
       0.0283535 , 0.01759762, 0.01854321, 0.03836719, 0.01971339])]"
17,1668791493.209346,11,12,13,14,1,0.17308030539059974,0.05,3.4616061078119946,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00673875,  0.17154583,  0.1789153 ,  0.17491948,  0.17068739,
        0.17256681,  0.17783291,  0.16788935,  0.17990058,  0.19049931,
        0.18290178,  0.16861035,  0.19233452,  0.19159579,  0.188651  ,
        0.17136341,  0.1912113 ,  0.19572289,  0.16340971,  0.18266956,
        0.21032904,  0.02039349,  0.02844084,  0.03464341,  0.02181168,
        0.04014054,  0.04019387,  0.02785703,  0.0241936 ,  0.02934766,
        0.03702602,  0.02296172,  0.02813125,  0.01693417,  0.02486863,
        0.02633834,  0.02539065,  0.01603286,  0.02190504,  0.03469293])]"
18,1668791493.212589,12,13,14,15,1,0.1832046638773211,0.05,3.6640932775464217,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([0.00022066, 0.18224798, 0.18876081, 0.18462463, 0.18339437,
       0.19945906, 0.19612065, 0.18955242, 0.18394115, 0.2092528 ,
       0.18370878, 0.17629018, 0.19748831, 0.18230188, 0.1975181 ,
       0.19024704, 0.18754151, 0.19951175, 0.18909683, 0.18534353,
       0.2206542 , 0.03817284, 0.04345448, 0.03050512, 0.02028873,
       0.03273451, 0.0331937 , 0.03485483, 0.02425259, 0.00328546,
       0.03039349, 0.03464731, 0.02087235, 0.0249158 , 0.02178617,
       0.01867448, 0.01501727, 0.01721632, 0.02696132, 0.0256308 ])]"
19,1668791493.214805,13,14,15,16,1,0.17248573050598304,0.05,3.4497146101196607,20,[-1.],[0.],[0.4],[67.0320046],"[array([0.        , 0.05263158, 0.10526316, 0.15789474, 0.21052632,
       0.26315789, 0.31578947, 0.36842105, 0.42105263, 0.47368421,
       0.52631579, 0.57894737, 0.63157895, 0.68421053, 0.73684211,
       0.78947368, 0.84210526, 0.89473684, 0.94736842, 1.        ,
       1.        , 1.05263158, 1.10526316, 1.15789474, 1.21052632,
       1.26315789, 1.31578947, 1.36842105, 1.42105263, 1.47368421,
       1.52631579, 1.57894737, 1.63157895, 1.68421053, 1.73684211,
       1.78947368, 1.84210526, 1.89473684, 1.94736842, 2.        ]), array([-0.00279202,  0.168778  ,  0.16618249,  0.16741009,  0.1894304 ,
        0.16638835,  0.17749469,  0.1826853 ,  0.1796416 ,  0.17944451,
        0.1967752 ,  0.17758654,  0.18700544,  0.18109786,  0.18319445,
        0.19344624,  0.18790527,  0.18519715,  0.16984655,  0.18126668,
        0.2004569 ,  0.03499859,  0.03359411,  0.0424793 ,  0.03164699,
        0.0306365 ,  0.03144552,  0.02940951,  0.02881499,  0.0171941 ,
        0.02359046,  0.03039085,  0.01260439,  0.02815829,  0.02656397,
        0.00738251,  0.01110349,  0.01028071,  0.01307593,  0.00847388])]"
